1945 12 28 1748 150.080 -5.808 60.0 7.50 MW 
1975 12 25 2322 142.106 -4.102 113.1 6.90 MW bibliog
1976 01 23 0545 119.889 -7.434 614.1 6.74 MW gcmt
1976 01 23 0545 119.889 -7.434 614.1 6.74 MW gcmt
1976 02 12 0742 152.894 -4.587 66.2 5.71 MW 
1976 05 21 0642 145.819 -5.921 115.3 6.01 MW 
1976 05 22 1012 148.328 -5.686 163.6 6.26 MW 
1976 08 21 0656 129.528 -6.759 165.0 6.34 MW gcmt
1976 11 01 0653 149.547 -6.075 65.0 6.01 MW 
1977 03 15 0855 131.069 -5.016 75.8 6.16 MW gcmt
1977 03 24 0702 130.118 -6.912 85.0 5.74 MW 
1977 06 29 0724 127.765 -7.532 75.0 6.17 MW gcmt
1977 10 29 2015 146.600 -6.199 106.6 6.06 MW gcmt
1978 01 24 1532 148.846 -6.014 79.5 6.11 MW gcmt
1978 02 12 0334 123.906 -8.610 101.3 5.79 MW gcmt
1978 02 12 0334 123.906 -8.610 101.3 5.79 MW gcmt
1978 02 19 1219 129.060 -3.703 102.4 6.00 MW gcmt
1978 02 19 1219 129.060 -3.703 102.4 6.00 MW gcmt
1978 02 21 0714 125.226 -5.020 516.6 6.80 MW bibliog
1978 02 21 0714 125.226 -5.020 516.6 6.80 MW bibliog
1978 06 10 1738 114.201 -6.125 526.5 5.89 MW gcmt
1978 06 10 1738 114.201 -6.125 526.5 5.89 MW gcmt
1978 06 15 1330 128.916 -7.247 162.6 5.83 MW gcmt
1978 08 05 1546 152.284 -3.532 252.0 5.92 MW gcmt
1978 08 14 2345 146.877 -7.895 142.9 5.92 MW gcmt
1978 10 15 0536 148.144 -5.640 160.0 5.76 MW gcmt
1978 12 11 0333 117.928 -7.063 481.0 6.00 MW gcmt
1979 06 13 1053 147.293 -6.497 82.4 5.71 MW gcmt
1979 06 25 0529 145.578 -5.027 187.5 6.61 MW gcmt
1980 02 12 0320 153.156 -4.663 70.8 6.42 MW gcmt
1980 02 12 0459 146.515 -6.364 108.0 5.79 MW 
1980 05 23 1033 129.701 -6.957 140.7 5.72 MW gcmt
1980 05 23 1033 129.701 -6.957 140.7 5.72 MW gcmt
1980 06 04 0931 151.415 -5.103 90.2 5.95 MW gcmt
1980 06 16 2048 128.499 -7.237 152.5 6.01 MW gcmt
1980 07 16 1956 143.526 -4.446 85.3 7.27 MW gcmt
1980 09 13 2143 127.472 -4.036 230.0 5.71 MW gcmt
1980 10 19 1503 145.530 -6.130 117.5 5.88 MW gcmt
1980 11 19 2033 131.489 -6.485 50.0 5.71 MW 
1981 02 24 1617 148.787 -6.015 72.1 6.57 MW gcmt
1981 10 17 0644 129.028 -7.004 186.0 6.40 MW gcmt
1981 12 11 0945 148.141 -6.016 67.8 6.17 MW gcmt
1982 06 22 0418 125.999 -7.184 440.0 7.44 MW gcmt
1982 06 22 0418 125.999 -7.184 440.0 7.44 MW gcmt
1982 07 20 1556 129.523 -6.764 160.0 5.74 MW 
1982 08 14 1427 143.955 -5.084 104.8 6.04 MW gcmt
1982 08 29 1318 112.731 -5.953 594.9 5.88 MW gcmt
1982 08 29 1318 112.731 -5.953 594.9 5.88 MW gcmt
1983 01 16 2210 147.036 -5.494 225.0 6.55 MW gcmt
1983 10 08 2233 146.066 -5.450 61.3 5.78 MW gcmt
1983 10 31 1737 119.074 -9.018 80.0 6.39 MW gcmt
1983 11 20 2032 130.449 -7.434 50.0 6.09 MW gcmt
1983 11 24 0530 128.157 -7.507 180.0 7.41 MW gcmt
1983 11 24 0530 128.157 -7.507 180.0 7.41 MW gcmt
1983 12 12 0926 127.329 -7.513 164.0 6.36 MW gcmt
1983 12 18 1728 119.621 -8.948 79.9 5.81 MW gcmt
1984 02 17 1632 130.031 -6.504 167.3 5.96 MW gcmt
1984 02 17 1632 130.031 -6.504 167.3 5.96 MW gcmt
1984 04 01 0959 124.809 -5.623 602.3 5.87 MW gcmt
1984 04 01 0959 124.809 -5.623 602.3 5.87 MW gcmt
1984 04 13 2205 148.306 -5.695 178.0 6.09 MW gcmt
1984 04 17 1416 126.761 -6.644 452.1 5.70 MW gcmt
1984 05 30 0749 151.645 -4.920 171.4 7.10 MW gcmt
1984 09 05 0932 121.631 -8.028 209.3 5.94 MW gcmt
1985 03 25 1107 128.683 -6.416 268.5 6.18 MW gcmt
1985 04 13 0105 114.236 -9.098 82.7 5.90 MW gcmt
1985 08 08 1618 113.406 -6.064 592.0 6.20 MW gcmt
1985 08 08 1618 113.406 -6.064 592.0 6.20 MW gcmt
1985 08 12 0418 117.182 -6.988 597.8 5.80 MW 
1985 08 12 0418 117.182 -6.988 597.8 5.80 MW 
1985 08 13 0731 128.539 -3.883 125.0 5.89 MW 
1985 08 13 0731 128.539 -3.883 125.0 5.89 MW 
1985 09 24 2028 130.063 -6.355 154.3 5.91 MW gcmt
1985 09 24 2028 130.063 -6.355 154.3 5.91 MW gcmt
1985 10 25 1812 124.295 -7.052 600.8 6.01 MW gcmt
1985 10 25 1812 124.295 -7.052 600.8 6.01 MW gcmt
1986 06 17 2022 131.149 -6.620 65.0 5.70 MW 
1986 06 24 0311 143.982 -4.416 122.9 7.22 MW gcmt
1986 09 22 1615 130.485 -6.635 97.8 5.70 MW gcmt
1986 10 17 0732 131.481 -5.251 70.0 6.39 MW gcmt
1986 10 23 0354 146.330 -6.089 124.5 5.99 MW gcmt
1987 06 17 0132 130.798 -5.485 70.0 7.06 MW gcmt
1987 10 10 1426 113.076 -6.027 575.3 5.91 MW gcmt
1987 10 10 1426 113.076 -6.027 575.3 5.91 MW gcmt
1987 12 17 2022 114.551 -9.067 45.0 5.99 MW gcmt
1988 02 20 0125 127.036 -7.079 308.8 6.42 MW gcmt
1988 04 04 1612 112.761 -9.358 43.7 5.85 MW gcmt
1988 04 08 1120 117.465 -8.824 112.0 5.72 MW gcmt
1988 04 08 1120 117.465 -8.824 112.0 5.72 MW gcmt
1988 05 30 2111 128.299 -7.397 93.6 6.80 MW gcmt
1988 12 24 1309 149.827 -5.171 370.7 5.81 MW gcmt
1989 02 04 2210 153.038 -4.589 62.1 6.19 MW gcmt
1989 02 28 1348 127.492 -7.896 190.0 6.12 MW gcmt
1989 04 25 0513 143.526 -5.152 105.0 5.78 MW gcmt
1989 12 07 1338 146.480 -6.433 110.0 6.47 MW gcmt
1989 12 12 0833 130.875 -4.616 73.9 6.05 MW gcmt
1990 02 18 1222 149.468 -5.563 150.8 5.87 MW gcmt
1990 05 02 2250 150.218 -5.680 94.6 6.41 MW gcmt
1990 05 24 2009 120.353 -7.272 588.9 7.05 MW gcmt
1990 05 24 2009 120.353 -7.272 588.9 7.05 MW gcmt
1990 08 27 1517 125.440 -6.773 515.8 5.83 MW gcmt
1990 08 27 1517 125.440 -6.773 515.8 5.83 MW gcmt
1990 12 05 1608 131.451 -5.214 55.0 6.04 MW gcmt
1990 12 30 1914 150.978 -5.150 183.0 7.44 MW gcmt
1991 04 01 0525 152.125 -4.806 75.0 5.76 MW gcmt
1991 04 19 2148 129.503 -6.797 132.9 5.88 MW gcmt
1991 05 17 0231 142.707 -4.344 65.1 6.33 MW gcmt
1991 05 31 0528 130.665 -5.952 86.4 5.82 MW gcmt
1991 06 07 1151 122.548 -7.094 530.0 6.86 MW gcmt
1991 06 07 1151 122.548 -7.094 530.0 6.86 MW gcmt
1992 04 07 0337 130.963 -4.064 49.2 5.99 MW gcmt
1992 05 15 0705 147.597 -6.128 62.7 7.21 MW gcmt
1992 06 23 0452 129.100 -3.486 87.2 5.76 MW gcmt
1992 07 14 0703 125.407 -4.677 476.0 6.03 MW gcmt
1992 08 02 1203 121.703 -7.083 491.3 6.61 MW gcmt
1992 08 16 1023 146.729 -5.344 225.0 6.25 MW gcmt
1992 11 17 0646 130.614 -5.727 70.0 5.81 MW gcmt
1992 12 20 2052 130.389 -6.585 78.6 7.23 MW gcmt
1992 12 27 2149 113.072 -5.988 610.6 5.93 MW gcmt
1992 12 27 2149 113.072 -5.988 610.6 5.93 MW gcmt
1993 01 03 1708 129.460 -4.068 46.7 5.78 MW gcmt
1993 03 01 0139 138.550 -3.712 94.1 6.10 MW gcmt
1993 06 15 1306 145.438 -5.004 228.1 6.12 MW gcmt
1993 09 04 2139 122.314 -9.430 65.0 6.18 MW gcmt
1994 04 25 2221 113.030 -9.403 51.7 5.73 MW gcmt
1994 07 02 0914 130.997 -5.701 83.7 5.75 MW gcmt
1994 07 13 1145 127.777 -7.488 165.0 6.47 MW gcmt
1994 08 30 1942 124.104 -6.899 600.0 6.15 MW gcmt
1994 08 30 1942 124.104 -6.899 600.0 6.15 MW gcmt
1994 12 15 2356 139.820 -3.247 115.0 5.81 MW gcmt
1995 03 12 1209 146.706 -5.299 225.0 6.00 MW gcmt
1995 03 20 0814 116.497 -8.018 227.6 5.74 MW gcmt
1995 03 20 0814 116.497 -8.018 227.6 5.74 MW gcmt
1995 08 14 0437 151.589 -4.824 130.5 6.70 MW gcmt
1995 09 25 0913 130.445 -4.584 53.7 5.71 MW gcmt
1995 12 19 2328 140.155 -3.698 67.7 6.45 MW gcmt
1995 12 25 0443 129.281 -6.789 147.9 7.05 MW gcmt
1996 01 17 1006 140.021 -4.398 99.4 6.07 MW gcmt
1996 02 17 1018 125.145 -6.984 549.6 6.02 MW 
1996 02 17 1018 125.145 -6.984 549.6 6.02 MW 
1996 06 17 1122 122.616 -7.161 592.0 7.85 MW gcmt
1996 06 17 1122 122.616 -7.161 592.0 7.85 MW gcmt
1996 11 02 0008 117.354 -7.575 305.0 5.76 MW gcmt
1996 11 02 0008 117.354 -7.575 305.0 5.76 MW gcmt
1997 01 17 1120 123.506 -8.761 112.1 6.14 MW gcmt
1997 01 17 1120 123.506 -8.761 112.1 6.14 MW gcmt
1997 04 05 1223 147.491 -6.535 68.8 6.44 MW gcmt
1997 04 21 1401 125.709 -7.411 428.2 5.71 MW 
1997 04 21 1401 125.709 -7.411 428.2 5.71 MW 
1997 07 31 2154 130.806 -6.617 68.7 5.98 MW gcmt
1997 09 26 1548 128.930 -5.291 240.0 6.02 MW gcmt
1997 12 22 0205 147.951 -5.541 192.7 7.14 MW gcmt
1998 04 27 2351 113.097 -6.100 591.1 5.70 MW gcmt
1998 04 27 2351 113.097 -6.100 591.1 5.70 MW gcmt
1998 09 28 1334 112.424 -8.139 156.7 6.53 MW gcmt
1998 09 28 1334 112.424 -8.139 156.7 6.53 MW gcmt
1998 11 08 0725 121.406 -9.067 53.3 6.33 MW gcmt
1999 01 27 0809 146.817 -5.395 234.7 5.87 MW gcmt
1999 02 08 1622 147.730 -7.860 70.0 5.89 MW gcmt
1999 04 05 1108 149.603 -5.775 140.0 7.39 MW gcmt
1999 05 10 2033 150.935 -5.181 130.0 7.05 MW gcmt
1999 12 19 0338 131.495 -3.986 40.0 5.90 MW gcmt
2000 06 27 1137 125.892 -7.075 507.9 5.75 MW gcmt
2000 06 27 1137 125.892 -7.075 507.9 5.75 MW gcmt
2000 08 07 1433 123.447 -6.941 649.0 6.46 MW gcmt
2000 08 07 1433 123.447 -6.941 649.0 6.46 MW gcmt
2000 09 17 0929 146.781 -5.392 230.9 5.81 MW gcmt
2000 10 30 1201 118.996 -9.752 40.0 5.94 MW gcmt
2001 02 16 0559 117.492 -7.068 521.4 6.06 MW gcmt
2001 02 16 0559 117.492 -7.068 521.4 6.06 MW gcmt
2001 06 30 1634 146.888 -6.419 103.3 5.91 MW gcmt
2001 09 18 0219 127.719 -7.518 135.4 5.96 MW gcmt
2001 09 18 0219 127.719 -7.518 135.4 5.96 MW gcmt
2002 03 19 2214 129.856 -6.458 155.4 6.02 MW gcmt
2002 07 24 0305 118.573 -9.277 40.0 5.88 MW gcmt
2002 10 03 1905 115.707 -7.526 314.1 5.97 MW gcmt
2002 10 03 1905 115.707 -7.526 314.1 5.97 MW gcmt
2003 06 21 0734 127.903 -7.475 170.0 5.83 MW gcmt
2003 06 21 0734 127.903 -7.475 170.0 5.83 MW gcmt
2003 07 21 1354 148.869 -5.575 198.6 6.31 MW gcmt
2003 08 28 0638 126.124 -7.295 431.4 5.93 MW gcmt
2003 08 28 0638 126.124 -7.295 431.4 5.93 MW gcmt
2003 10 04 1449 125.460 -7.066 535.0 5.85 MW gcmt
2003 10 04 1449 125.460 -7.066 535.0 5.85 MW gcmt
2004 04 17 1558 128.420 -7.373 150.0 5.79 MW gcmt
2004 04 17 1558 128.420 -7.373 150.0 5.79 MW gcmt
2004 04 23 0150 122.793 -9.443 65.2 6.64 MW gcmt
2004 06 06 0938 113.069 -6.072 583.5 5.85 MW gcmt
2004 06 06 0938 113.069 -6.072 583.5 5.85 MW gcmt
2004 10 13 2035 130.606 -6.111 93.3 5.81 MW gcmt
2004 11 05 0518 143.996 -4.420 131.0 5.94 MW gcmt
2005 03 02 1042 129.776 -6.553 178.0 7.11 MW gcmt
2005 10 25 1940 146.077 -7.165 177.8 5.83 MW gcmt
2005 11 22 1511 145.238 -5.162 91.3 6.17 MW gcmt
2006 01 15 1158 122.599 -7.862 265.0 6.15 MW gcmt
2006 01 27 1658 128.106 -5.540 397.0 7.64 MW gcmt
2006 07 15 0710 126.216 -4.480 378.5 5.81 MW gcmt
2006 09 09 0413 120.146 -7.200 579.6 6.29 MW gcmt
2006 09 09 0413 120.146 -7.200 579.6 6.29 MW gcmt
2006 11 14 1421 127.941 -6.435 345.0 6.10 MW gcmt
2007 01 17 0428 139.844 -3.265 115.0 5.99 MW gcmt
2007 05 29 0103 151.877 -4.621 130.8 6.09 MW gcmt
2007 11 22 0848 147.079 -5.854 75.0 6.76 MW gcmt
2007 12 15 0939 131.149 -6.589 57.0 6.41 MW gcmt
2008 04 29 1910 127.560 -6.088 410.0 5.93 MW gcmt
2008 04 29 1910 127.560 -6.088 410.0 5.93 MW gcmt
2008 08 06 2241 117.723 -8.106 49.6 5.93 MW gcmt
2008 12 06 1055 124.735 -7.426 407.8 6.42 MW gcmt
2008 12 06 1055 124.735 -7.426 407.8 6.42 MW gcmt
2009 05 12 0126 149.588 -5.678 101.9 6.10 MW gcmt
2009 07 13 1052 119.377 -9.143 75.0 5.94 MW gcmt
2009 08 28 0151 123.475 -7.215 638.3 6.90 MW gcmt
2009 08 28 0151 123.475 -7.215 638.3 6.90 MW gcmt
2009 09 18 2306 115.595 -9.172 75.0 5.74 MW gcmt
2009 10 15 1211 139.524 -3.107 110.5 6.02 MW gcmt
2009 10 24 1440 130.453 -6.125 130.0 6.92 MW gcmt
2009 10 24 1440 130.453 -6.125 130.0 6.92 MW gcmt
2009 12 26 0857 131.297 -5.425 72.8 6.09 MW gcmt
2010 02 15 2151 128.763 -7.280 139.5 6.22 MW gcmt
2010 04 17 2315 147.302 -6.686 69.4 6.17 MW gcmt
2010 08 15 1509 148.383 -5.753 175.0 6.28 MW gcmt
2010 11 23 0901 149.004 -6.005 73.5 6.07 MW gcmt
2011 03 10 1708 116.731 -6.864 518.2 6.60 MW gcmt
2011 03 10 1708 116.731 -6.864 518.2 6.60 MW gcmt
2011 07 16 1706 127.553 -7.173 250.0 5.93 MW gcmt
2011 08 30 0657 126.750 -6.363 473.4 6.89 MW gcmt
2011 10 13 0316 114.558 -9.351 60.0 6.17 MW gcmt
2011 12 14 0504 146.795 -7.537 135.0 7.09 MW gcmt
2012 01 20 2032 119.609 -8.547 125.0 5.77 MW gcmt
2012 01 20 2032 119.609 -8.547 125.0 5.77 MW gcmt
2012 03 20 1756 140.279 -3.849 70.9 6.26 MW gcmt
2012 03 21 2215 146.011 -6.222 120.0 6.61 MW gcmt
2012 04 17 0713 147.125 -5.529 210.0 6.86 MW gcmt
2012 07 28 2003 153.162 -4.647 60.0 6.53 MW gcmt
2012 08 19 2241 144.649 -4.824 87.7 6.25 MW gcmt
2012 12 10 1653 129.872 -6.561 140.0 7.10 MW gcmt
2012 12 10 1653 129.872 -6.561 140.0 7.10 MW gcmt
2013 04 06 0442 138.480 -3.474 68.7 6.97 MW gcmt
2013 07 07 2030 149.728 -6.028 65.0 6.56 MW gcmt
2013 07 08 0213 113.017 -8.721 70.6 5.73 MW gcmt
2013 08 30 0211 151.627 -4.436 210.1 5.85 MW gcmt
2013 09 01 1152 128.265 -7.523 133.7 6.49 MW gcmt
2013 09 01 1152 128.265 -7.523 133.7 6.49 MW gcmt
2013 09 21 0139 119.956 -7.282 544.9 6.06 MW gcmt
2013 09 21 0139 119.956 -7.282 544.9 6.06 MW gcmt
2013 11 03 0242 148.846 -5.941 88.1 5.83 MW gcmt
2014 03 10 1733 147.934 -5.537 269.5 5.96 MW gcmt
2014 10 30 1211 117.515 -6.969 542.7 5.76 MW gcmt
2014 10 30 1211 117.515 -6.969 542.7 5.76 MW gcmt
2014 12 06 2205 130.473 -6.143 130.0 6.04 MW gcmt
2014 12 06 2205 130.473 -6.143 130.0 6.04 MW gcmt
2014 12 31 0137 144.057 -4.458 125.0 5.81 MW gcmt
